observed_on,county,month,year,site,scientific_name,taxon_genus_name,taxon_family_name,taxon_suborder_name
7/10/2019,Wayne,7,2019,C,Plathemis lydia,Plathemis,Libellulidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Tramea lacerata,Tramea,Libellulidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Argia fumipennis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia fumipennis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia fumipennis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,N/A,N/A,Gomphidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia fumipennis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,N/A,N/A,Gomphidae,Anisoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/10/2019,Wayne,7,2019,C,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/11/2019,Knott,7,2019,D,Argia apicalis,Argia,Coenagrionidae,Zygoptera
7/11/2019,Knott,7,2019,D,Libellula luctuosa,Libellula,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Celithemis fasciata,Celithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Celithemis fasciata,Celithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Pachydiplax longipennis,Pachydiplax,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Erythemis simplicicollis,Erythemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Erythemis simplicicollis,Erythemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
7/12/2019,Wise,7,2019,E,Perithemis tenera,Perithemis,Libellulidae,Anisoptera
